time,place,mag,longitude,latitude,depth
2000-08-15 04:30:08.800,Kermadec Islands region,6.6,179.725,-31.511,357.7
2001-10-21 00:29:21.490,"178 km ENE of Opotiki, New Zealand",6.7,178.982,-37.137,18.0
2003-08-21 12:12:49.790,"56 km NW of Te Anau, New Zealand",7.2,167.144,-45.104,28.0
2004-11-22 20:26:23.900,"255 km W of Riverton, New Zealand",7.1,164.721,-46.676,10.0
2004-12-23 14:59:04.410,north of Macquarie Island,8.1,161.345,-49.312,10.0
2007-09-30 05:23:34.070,"Auckland Islands, New Zealand region",7.4,164.115,-49.271,10.0
2007-09-30 09:47:51.970,"Auckland Islands, New Zealand region",6.6,164.11,-49.138,18.0
2007-10-15 12:29:34.860,"70 km N of Te Anau, New Zealand",6.8,167.553,-44.796,18.0
2007-12-20 07:55:15.840,"46 km SSE of Gisborne, New Zealand",6.6,178.291,-39.011,20.0
2009-07-15 09:22:29.030,"97 km WSW of Te Anau, New Zealand",7.8,166.562,-45.762,12.0
2010-09-03 16:35:47.770,"19 km NE of Methven, New Zealand",7.0,171.83,-43.522,12.0
2011-04-18 13:03:02.730,south of the Kermadec Islands,6.6,179.874,-34.336,86.0
2013-07-21 05:09:31.450,"38 km ESE of Blenheim, New Zealand",6.5,174.337,-41.704,17.0
2013-08-16 02:31:05.750,"29 km SE of Blenheim, New Zealand",6.5,174.152,-41.734,8.2
2014-11-16 22:33:20.450,"183 km NE of Gisborne, New Zealand",6.7,179.6621,-37.6478,22.0
2016-09-01 16:37:57.300,"175 km NE of Gisborne, New Zealand",7.0,179.1461,-37.3586,19.0
2016-11-13 11:02:56.340,"53 km NNE of Amberley, New Zealand",7.8,173.054,-42.7373,15.11
2016-11-13 11:32:06.540,"92 km SSW of Blenheim, New Zealand",6.5,173.6694,-42.3205,10.0
2016-11-14 00:34:22.610,"74 km NE of Amberley, New Zealand",6.5,173.2543,-42.6058,9.0
2017-07-11 07:00:01.190,"Auckland Islands, New Zealand region",6.6,164.0157,-49.4837,10.0
2021-03-04 13:27:34.647,"182 km NE of Gisborne, New Zealand",7.3,179.4576,-37.4787,10.0
